PropID,zipcode,price,beds,baths,liveSQ,lotSQ,floors,waterfront,viewQuality,buildquality,yearBuilt,lat,long,liveSQ15,lotSQ15
4254000220,98019,475000,4,2.5,2.04,16.2,1,no,0,8,1997,47.7366,-121.958,1.64,15.389
7302000610,98053,316000,4,1.5,2.12,46.173,2,no,0,7,1974,47.6503,-121.968,1.81,46.173
7855600820,98006,802000,4,2.25,2.13,8.734,1,no,2,8,1961,47.5672,-122.161,1.72,8.8
4139460200,98006,905000,4,2.5,3.33,9.557,3,no,0,10,1995,47.5526,-122.102,2.62,9.755
8901500178,98125,7.00E+05,4,2.25,2.44,9.45,2,no,0,7,1947,47.7061,-122.307,0.99,7.503
2730000270,98001,178500,3,1,0.9,10.511,2,no,0,6,1961,47.2883,-122.272,2.97,10.643
4178300130,98007,950000,7,3.5,3.47,16.264,1,no,0,9,1980,47.6203,-122.149,1.91,13.5
9269750460,98023,247000,3,2.25,1.58,7.941,2.5,no,0,7,1986,47.2843,-122.357,3.5,8.051
3818700190,98028,387846,4,1.75,2.52,15.205,1,no,0,7,1954,47.7642,-122.264,1.3,10
1471610060,98045,370000,3,1.75,1.57,16.817,1,no,0,7,1982,47.4716,-121.756,2.7,16.817
9512200090,98058,529000,3,1.75,2.34,7.724,1,no,0,10,2010,47.4593,-122.134,4.11,5.787
4166600610,98023,335000,3,2,1.41,44.866,2,no,0,7,1985,47.3273,-122.37,2.62,29.152
1704900206,98118,465500,3,1.75,1.89,7.004,2,no,0,7,1965,47.5557,-122.28,1.76,5.378
3530200160,98077,654950,4,2.5,2.79,45.902,1,no,0,9,1987,47.7674,-122.086,1.85,42.421
8860300220,98052,612000,5,2.5,2.3,7,1,no,0,8,1975,47.6875,-122.122,2.17,7.28
2523069156,98027,520000,3,2.25,2.51,43.995,1,no,0,8,1981,47.4545,-121.988,1.25,48.351
2321300351,98199,575000,2,1,1.51,4.032,2,no,0,8,1935,47.6371,-122.393,2.5,4.042
1446400615,98168,268000,4,2,1.93,6.6,1,no,0,7,1967,47.482,-122.332,1.59,6.6
4391600065,98010,330000,2,0.75,0.52,6.862,1,no,0,4,1924,47.326,-122.037,1.14,8.756
1088810040,98011,627250,4,2.5,2.83,10.677,2,no,0,9,1993,47.742,-122.208,1.18,9.619
9485920120,98042,290000,4,2.5,2.34,52.272,1.5,no,0,8,1978,47.3468,-122.091,1.2,40.5
6127011000,98075,537500,4,2.5,2.55,4.63,1,no,0,7,2005,47.5928,-122.004,1.43,5.151
4222310680,98003,240000,3,2,1.03,11.118,2,no,0,7,1970,47.3463,-122.308,1.09,7.92
7523700210,98032,205000,3,1,0.97,7.7,1,yes,0,7,1959,47.3793,-122.304,1.12,8.25
1257201420,98103,595000,4,3.25,3.73,4.56,2,no,0,9,2015,47.6725,-122.33,1.88,4.56
2413910190,98053,5.00E+05,3,1.75,1.69,48.096,1,no,0,7,1973,47.6745,-122.061,2.798,35.16
1430800100,98166,356000,4,2,1.6,12.5,1,no,0,7,1938,47.4713,-122.355,2.89,8.306
3260000700,98005,530000,3,1.75,1.68,7.77,2,no,0,7,1967,47.6028,-122.167,1.96,7.77
4174600331,98108,384000,6,3,2.32,4.502,2,no,0,7,1987,47.5552,-122.3,1.36,5.628
9513900050,98031,237000,3,2,1.21,6.634,1,no,0,7,1985,47.4097,-122.193,1.74,7.2
9558020840,98058,364950,4,2.5,2.07,2.992,3,no,0,8,2002,47.4496,-122.12,1.72,2.957
1665400025,98166,259000,3,1.75,1.59,7.148,3,no,0,7,1952,47.4713,-122.344,2.419,7.28
7211400535,98146,275500,4,1,1.29,5,2,no,0,7,1957,47.5128,-122.358,1.57,2.5
4303200184,98106,230000,2,1,0.77,6.45,1,no,0,6,1948,47.531,-122.358,1.81,6.063
8631600025,98133,425000,4,1.5,2.29,8.773,3,no,0,7,1947,47.7173,-122.33,1.16,7.058
9320870040,98031,249900,3,2.5,1.63,7.7,1,no,0,7,1978,47.3876,-122.211,1.46,8.16
8731983200,98023,255000,2,1.75,1.95,8.2,1,no,0,8,1975,47.3161,-122.382,3.68,8
930000425,98177,440000,3,1.75,1.57,5.12,1,yes,2,7,1947,47.7166,-122.365,2.82,7.2
1099900030,98188,325000,5,2.75,2.4,7.904,2,no,0,7,1992,47.4683,-122.263,2.647,7.475
6190701483,98133,364000,4,1.75,2.01,8.625,1,no,0,7,1957,47.7496,-122.355,3.29,8.4
4039300490,98007,4.00E+05,3,1.5,1.2,4.8,1,no,0,7,1962,47.6084,-122.136,0.88,7.668
3901100030,98033,982000,4,2.75,3.61,8.58,1,no,0,9,2014,47.6706,-122.173,2.15,8.58
7203140420,98053,385000,3,2.5,1.74,4.145,2,no,0,7,2010,47.6875,-122.015,3.27,4.045
5057100110,98042,479349,5,3,3.223,6.371,2.5,no,0,9,2014,47.3584,-122.163,3.6,9.008
3904901520,98029,447000,3,2.25,1.44,4.667,2,no,0,7,1985,47.5662,-122.017,3.73,4.756
3332500095,98118,399000,3,2.5,1.8,3.3,1,no,0,7,2004,47.5491,-122.276,2.59,3.902
420000085,98056,238000,3,1,1.24,5.7,1,no,0,6,1953,47.4927,-122.169,2.63,5.7
3902310210,98033,610000,4,2.5,2.1,8.8,2,no,0,8,1980,47.6909,-122.186,1.01,9
5547700270,98074,625000,4,2.5,2.57,5.52,1,no,0,9,2000,47.6145,-122.027,3.39,5.669
8929000230,98029,550000,3,2.5,2.01,2.261,2,no,0,8,2014,47.5514,-121.998,2.3,1.899
2481630290,98072,879000,4,2.75,4.23,31.747,2,no,0,10,1985,47.731,-122.132,1.14,35.576
5605000430,98112,1160000,4,2.5,2.79,5.45,2,no,0,10,1925,47.6453,-122.303,3.89,5.45
3797001900,98103,360000,3,1.5,1.36,6,3,no,0,6,1911,47.6846,-122.345,1.89,3
3693900885,98117,1020000,6,2.25,2.55,5,1,no,0,7,1907,47.6785,-122.396,2.2,5
3629970090,98029,680000,4,2.5,2.52,5,2,no,0,9,2004,47.5524,-121.992,1.41,5.001
8132700190,98117,430000,2,1,0.99,4.802,2,no,0,7,1947,47.6876,-122.395,1.76,5
7972603385,98106,245000,2,1,0.87,6.15,2,no,0,6,1941,47.5256,-122.347,2.02,6.15
6204410330,98011,432000,4,1.75,2.41,8.4,1,no,0,7,1978,47.7341,-122.2,3.28,8.4
4440400125,98178,228000,4,1.75,2,6.12,1,no,0,7,1965,47.5035,-122.258,2.57,6.12
1450100390,98002,208000,3,1,0.92,7.314,1,no,0,6,1960,47.2892,-122.22,1.69,7.42
9268851320,98027,450000,3,2.25,1.62,0.997,2,no,0,8,2012,47.5394,-122.027,1.37,1.068
4457300135,98040,741000,4,2.75,2.07,10.125,2,no,0,7,1962,47.5697,-122.219,1.85,10.125
6371500120,98116,325000,2,1,0.96,4.8,1.5,no,0,6,1912,47.5752,-122.411,1.09,4.8
923000280,98177,699000,3,2.5,2.58,8.154,1,no,0,10,1956,47.7259,-122.361,1.72,8.155
4385700765,98112,850000,3,1.75,1.37,3.85,1,no,0,7,1911,47.6374,-122.279,1.1,3.6
8856960050,98038,318400,4,2.5,1.82,6.916,2,no,0,7,1994,47.3862,-122.029,0.78,6.995
2155000480,98052,499950,3,1.5,1.35,9.315,1,no,0,7,1968,47.6587,-122.124,2.15,9.92
